experiment,Enclosure,bee,Bee_ID,Date_delivered,Date_tagged,Days_Subcolony,Colony,Neonic,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date,,
t6rep3,2,95-29-66-01-0B-00-12-E0,95 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep3,3,9C-29-66-01-0B-00-12-E0,9C 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,y,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep3,4,E2-95-FA-04-08-00-12-E0,E2 95 FA 04 08 00 00 00,3/26/19,4/17/19,3,2,n,c,6alt,SI.NN,4/18/19,4/19/19,,
t6rep3,5,A9-27-66-01-0B-00-12-E0,A9 27 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep3,6,51-25-66-01-0B-00-12-E0,51 25 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep3,8,AC-99-FA-04-08-00-12-E0,AC 99 FA 04 08 00 00 00,3/26/19,4/17/19,3,2,n,c,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,1,A5-26-66-01-0B-00-12-E0,A5 26 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,n,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,2,7A-25-66-01-0B-00-12-E0,7A 25 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,3,66-25-66-01-0B-00-12-E0,66 25 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,c,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,4,C4-23-30-01-0B-00-12-E0,C4 23 30 01 0B 00 00 00,3/26/19,4/17/19,3,1,n,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,5,38-28-66-01-0B-00-12-E0,38 28 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,n,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,6,45-95-FA-04-08-00-12-E0,45 95 FA 04 08 00 00 00,3/26/19,4/17/19,3,1,n,c,6alt,SI.NN,4/18/19,4/19/19,,
t6rep4,8,52-21-30-01-0B-00-12-E0,52 21 30 01 0B 00 00 00,3/26/19,4/17/19,3,2,n,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep5,1,E2-29-66-01-0B-00-12-E0,E2 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,y,c,6alt,SI.NN,4/18/19,4/19/19,,
t6rep5,2,9E-29-66-01-0B-00-12-E0,9E 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,y,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep5,3,2B-28-66-01-0B-00-12-E0,2B 28 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,n,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep5,6,A3-97-FA-04-08-00-12-E0,A3 97 FA 04 08 00 00 00,3/26/19,4/17/19,3,2,y,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep5,8,54-28-66-01-0B-00-12-E0,54 28 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,n,c,6alt,SI.NN,4/18/19,4/19/19,,
t7rep1,1,A8-27-66-01-0B-00-12-E0,A8 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep1,2,1C-27-66-01-0B-00-12-E0,1C 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep1,3,0C-27-66-01-0B-00-12-E0,0C 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep1,4,1B-27-66-01-0B-00-12-E0,1B 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep1,5,20-27-66-01-0B-00-12-E0,20 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep1,6,18-27-66-01-0B-00-12-E0,18 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep1,8,21-27-66-01-0B-00-12-E0,21 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,1,E3-29-66-01-0B-00-12-E0,E3 29 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,2,AB-27-66-01-0B-00-12-E0,AB 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,3,8A-29-66-01-0B-00-12-E0,8A 29 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,4,B0-27-66-01-0B-00-12-E0,B0 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,5,B5-27-66-01-0B-00-12-E0,B5 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,6,9F-27-66-01-0B-00-12-E0,9F 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep2,8,A4-27-66-01-0B-00-12-E0,A4 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep3,1,10-27-66-01-0B-00-12-E0,10 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,y,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep3,2,1A-27-66-01-0B-00-12-E0,1A 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,y,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep3,3,89-29-66-01-0B-00-12-E0,89 29 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep3,5,86-29-66-01-0B-00-12-E0,86 29 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep3,6,22-27-66-01-0B-00-12-E0,22 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep3,8,E5-29-66-01-0B-00-12-E0,E5 29 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,y,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep4,1,B8-27-66-01-0B-00-12-E0,B8 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep4,2,AC-27-66-01-0B-00-12-E0,AC 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep4,3,08-27-66-01-0B-00-12-E0,08 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,y,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep4,4,66-27-66-01-0B-00-12-E0,66 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep4,5,67-27-66-01-0B-00-12-E0,67 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,m,6alt,SI.NN,4/23/19,4/24/19,,
t7rep4,6,B9-27-66-01-0B-00-12-E0,B9 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,n,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep5,2,69-27-66-01-0B-00-12-E0,69 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,n,c,6alt,SI.NN,4/23/19,4/24/19,,
t7rep5,3,B1-27-66-01-0B-00-12-E0,B1 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,2,y,h,6alt,SI.NN,4/23/19,4/24/19,,
t7rep5,8,A0-27-66-01-0B-00-12-E0,A0 27 66 01 0B 00 00 00,3/26/19,4/19/19,4,1,y,m,6alt,SI.NN,4/23/19,4/24/19,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
