experiment,Bee_ID,bee,Date_delivered,Date_tagged,Enclosure,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date
t2rep3,D1 2B 66 01 0B 00 00 00,D1-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,7,easy,8pointy,SI,6/26/18,6/27/18
t3 rep 1,1D 2B 66 01 0B 00 00 00,1D-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,1,easy,6round,SI,7/4/18,7/5/18
t3 rep 1,DA 2B 66 01 0B 00 00 00,DA-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,2,hard,6round,SI,7/4/18,7/5/18
t3 rep 1,E4 2B 66 01 0B 00 00 00,E4-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,3,control,8pointy,SI,7/4/18,7/5/18
t3 rep 1,19 2B 66 01 0B 00 00 00,19-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,4,control,4round,SI,7/4/18,7/5/18
t3 rep 1,EC 2B 66 01 0B 00 00 00,EC-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,5,easy,6alternating,SI,7/4/18,7/5/18
t3 rep 1,E0 2B 66 01 0B 00 00 00,E0-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,6,hard,6alternating,SI,7/4/18,7/5/18
t3 rep 1,55 2C 66 01 0B 00 00 00,55-2C-66-01-0B-00-12-E0,6/12/18,7/3/18,7,control,8pointy,SI,7/4/18,7/5/18
t3 rep 1,C7 2B 66 01 0B 00 00 00,C7-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,8,hard,6round,SI,7/4/18,7/5/18
t3 rep 2,43 2E 66 01 0B 00 00 00,43-2E-66-01-0B-00-12-E0,6/12/18,7/3/18,1,easy,6round,SI,7/4/18,7/5/18
t3 rep 2,D6 2B 66 01 0B 00 00 00,D6-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,2,hard,6round,SI,7/4/18,7/5/18
t3 rep 2,25 2B 66 01 0B 00 00 00,25-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,3,control,8pointy,SI,7/4/18,7/5/18
t3 rep 2,D5 2B 66 01 0B 00 00 00,D5-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,4,control,4round,SI,7/4/18,7/5/18
